CensusBloc,population density,% White,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >60,med income,% unemployment,% female hh,% <highschool,% security inc,% assistant inc,% renter hh,% stay >=5yrs,Lonpro,Latpro,DV rate
170313005001,7265.580604262142,0.561768531,0.0,0.0,0.0,0.751625488,0.059817945,0.282184655,0.128738622,0.036410923,0.154746424,47708.0,0.0606060609999999,0.160493827,0.37250996,0.0658436209999999,0.0,0.5267489710000001,0.592592593,440099.0,4633315.0,0.0
170313005002,12997.145545453346,0.49324639,0.002794597,0.0,0.0,0.987890079,0.204005589,0.171401956,0.139264089,0.08663251,0.158360503,37114.0,0.073858115,0.136738056,0.621014493,0.05601318,0.029654036,0.742998353,0.843492586,440048.0,4632943.0,13.04145319049837
170313006001,9297.60411188428,0.484848485,0.0,0.0,0.010540184,0.590909091,0.279314888,0.177206851,0.090909091,0.15085639,0.141633729,36080.0,0.11862069,0.123287671,0.3624497989999999,0.030136986,0.095890411,0.509589041,0.7972602740000001,440448.0,4633351.0,15.151515151515152
170313006002,9198.773749105832,0.39222149,0.0105471319999999,0.0,0.0,0.941990771,0.140408701,0.2102834539999999,0.105471325,0.072511536,0.079103494,45694.0,0.081993569,0.354368932,0.434892541,0.0339805829999999,0.0,0.672330097,0.84223301,440453.0,4632946.0,4.614370468029005
170318412003,15887.860303342217,0.506806283,0.0,0.04921466,0.0,0.6780104709999999,0.261780105,0.2094240839999999,0.070157068,0.129842932,0.116230366,41494.0,0.054030875,0.1114327059999999,0.3207843139999999,0.0,0.0,0.7192474670000001,0.7018813309999999,443469.0,4633996.0,4.188481675392671
170318412001,10278.250253239035,0.4927927929999999,0.02972973,0.0243243239999999,0.0,0.747747748,0.299099099,0.1972972969999999,0.11981982,0.1837837839999999,0.036936937,43917.0,0.047477745,0.068522484,0.273727648,0.0,0.034261242,0.815845824,0.847965739,443491.0,4633712.0,5.405405405405405
170318413001,9335.081446842849,0.52460733,0.0,0.0,0.0,0.678534031,0.158115183,0.252356021,0.121465969,0.062827225,0.136125654,54766.0,0.165656566,0.112179487,0.31629393,0.0705128209999999,0.0,0.602564103,0.6955128209999999,443514.0,4633449.0,9.424083769633508
170318413004,1055.345379510652,0.3285714289999999,0.0,0.0,0.0,0.8742857140000001,0.1785714289999999,0.0614285709999999,0.18,0.0871428569999999,0.184285714,75074.0,0.0,0.0,0.413301663,0.0,0.0,0.375,0.861607143,443434.0,4632432.0,4.285714285714286
170318413003,6531.726424799231,0.675222113,0.0463968409999999,0.051332675,0.0,0.512339585,0.476801579,0.125370188,0.153998026,0.076011846,0.082922014,85417.0,0.061842105,0.057142857,0.102272727,0.0,0.0,0.5380952379999999,0.692857143,443284.0,4632981.0,9.87166831194472
170314204001,4658.814056692514,0.225043783,0.0,0.151488616,0.0,0.095446585,0.3117337999999999,0.119964974,0.092819615,0.091943958,0.250437828,13676.0,0.185344828,0.070402299,0.145205479,0.1896551719999999,0.0387931029999999,0.829022989,0.610632184,449845.0,4625878.0,17.513134851138354
170314206001,8041.088746302516,0.040816327,0.0,0.0,0.0,0.055102041,0.063265306,0.166326531,0.1959183669999999,0.097959184,0.1908163269999999,15881.0,0.246612466,0.2348336589999999,0.1975308639999999,0.199608611,0.052837573,0.825831703,0.66927593,449003.0,4626001.0,48.97959183673469
170314206002,7508.328581050601,0.007658643,0.0,0.0,0.0,0.016411379,0.2702407,0.099562363,0.061269147,0.1159737419999999,0.261487965,28690.0,0.315420561,0.266826923,0.0388978929999999,0.100961538,0.036057692,0.865384615,0.524038462,449072.0,4625732.0,35.0109409190372
170314207001,2261.451631825441,0.0,0.0,0.0,0.0,0.0,0.216606498,0.187725632,0.140794224,0.046931408,0.0505415159999999,21063.0,0.243243243,0.1372549019999999,0.043165468,0.091503268,0.032679739,0.960784314,0.562091503,449496.0,4625369.0,64.98194945848375
170314207002,4457.481584334172,0.0,0.0,0.0,0.0,0.0,0.126373626,0.294871795,0.0,0.15018315,0.043956044,24671.0,0.347490347,0.0,0.384057971,0.215909091,0.028409091,0.568181818,0.352272727,449500.0,4624966.0,47.61904761904761
170314207004,2398.482125370781,0.0,0.0,0.0,0.0,0.0,0.133561644,0.119863014,0.2054794519999999,0.119863014,0.342465753,17565.0,0.6031746029999999,0.060773481,0.465217391,0.20441989,0.1049723759999999,0.662983425,0.878453039,449194.0,4625364.0,51.36986301369863
170314207005,3700.59958690913,0.006688963,0.04180602,0.0,0.0,0.001672241,0.289297659,0.003344482,0.1755852839999999,0.063545151,0.242474916,19174.0,0.495384615,0.323076923,0.048648649,0.076923077,0.073846154,0.772307692,0.5169230770000001,448945.0,4625159.0,175.58528428093643
170314208001,5129.260481254822,0.025450689,0.0,0.02757158,0.0,0.012725345,0.17709438,0.161187699,0.123011665,0.086956522,0.1124072109999999,42639.0,0.084090909,0.2316076289999999,0.0880149809999999,0.1144414169999999,0.079019074,0.7683923709999999,0.463215259,449876.0,4625374.0,28.63202545068929
170314208002,8757.049307978064,0.023709902,0.0,0.0,0.0,0.014644351,0.2161785219999999,0.087866109,0.1227336119999999,0.153417015,0.134588563,37962.0,0.104452055,0.305154639,0.138219895,0.121649485,0.045360825,0.713402062,0.620618557,449854.0,4624969.0,21.617852161785216
170314910003,1676.5767844946274,0.0,0.0,0.0,0.0,0.0623052959999999,0.07788162,0.112149533,0.333333333,0.087227414,0.361370717,54038.0,0.1372549019999999,0.067164179,0.323717949,0.276119403,0.0,0.365671642,1.0,447543.0,4617185.0,52.9595015576324
